"Month","Births","Deaths"
"01/1841","254","37"
"02/1841","239","18"
"03/1841","277","12"
"04/1841","255","4"
"05/1841","255","2"
"06/1841","200","10"
"07/1841","190","16"
"08/1841","222","3"
"09/1841","213","4"
"10/1841","236","26"
"11/1841","235","53"
"12/1841","",""
"01/1842","307","64"
"02/1842","311","38"
"03/1842","264","27"
"04/1842","242","26"
"05/1842","310","10"
"06/1842","273","18"
"07/1842","231","48"
"08/1842","216","55"
"09/1842","223","41"
"10/1842","242","71"
"11/1842","209","48"
"12/1842","239","75"
"01/1843","272","52"
"02/1843","263","42"
"03/1843","266","33"
"04/1843","285","34"
"05/1843","246","15"
"06/1843","196","8"
"07/1843","191","1"
"08/1843","193","3"
"09/1843","221","5"
"10/1843","250","44"
"11/1843","252","18"
"12/1843","236","19"
"01/1844","244","37"
"02/1844","257","29"
"03/1844","276","47"
"04/1844","208","36"
"05/1844","240","14"
"06/1844","224","6"
"07/1844","206","9"
"08/1844","269","17"
"09/1844","245","3"
"10/1844","248","8"
"11/1844","245","27"
"12/1844","256","27"
"01/1845","303","23"
"02/1845","274","13"
"03/1845","292","13"
"04/1845","260","11"
"05/1845","296","13"
"06/1845","280","20"
"07/1845","245","15"
"08/1845","251","9"
"09/1845","237","25"
"10/1845","283","42"
"11/1845","265","29"
"12/1845","267","28"
"01/1846","336","45"
"02/1846","293","53"
"03/1846","311","48"
"04/1846","253","48"
"05/1846","305","41"
"06/1846","266","27"
"07/1846","252","33"
"08/1846","216","39"
"09/1846","271","39"
"10/1846","254","38"
"11/1846","297","32"
"12/1846","298","16"
"01/1847","311","10"
"02/1847","312","6"
"03/1847","305","11"
"04/1847","312","57"
"05/1847","294","36"
"06/1847","268","6"
"07/1847","250","3"
"08/1847","264","5"
"09/1847","262","12"
"10/1847","278","11"
"11/1847","246","11"
"12/1847","273","8"
"01/1848","283","10"
"02/1848","291","2"
"03/1848","276","0"
"04/1848","305","2"
"05/1848","313","3"
"06/1848","264","3"
"07/1848","269","1"
"08/1848","261","0"
"09/1848","312","3"
"10/1848","299","7"
"11/1848","310","9"
"12/1848","373","5"
"01/1849","403","9"
"02/1849","389","12"
"03/1849","406","20"